artist,group
The Weeknd,Group
The Chainsmokers,Group
DJ Snake,Solo
Clean Bandit,Group
Drake,Solo
Bruno Mars,Solo
Maroon 5,Group
Rae Sremmurd,Group
Shakira,Solo
ZAYN,Solo
James Arthur,Solo
Migos,Group
Major Lazer,Group
Martin Garrix,Solo
Ariana Grande,Solo
Starley,Solo
Justin Timberlake,Solo
Shawn Mendes,Solo
Steve Aoki,Solo
Calvin Harris,Solo
Hailee Steinfeld,Solo
Machine Gun Kelly,Group
Twenty One Pilots,Group
Sia,Solo
CNCO,Group
Shelley FKA DRAM,Solo
Mike Posner,Solo
J Balvin,Solo
Fifth Harmony,Group
Alessia Cara,Solo
Ricky Martin,Solo
The Vamps,Group
Jonas Blue,Group
Charlie Puth,Solo
Aminé,Solo
Sage The Gemini,Solo
John Legend,Solo
Nevada,Group
Alan Walker,Solo
Rihanna,Solo
Zion & Lennox,Group
Zara Larsson,Solo
Alok,Solo
Robin Schulz,Solo
Big Sean,Solo
Justin Bieber,Solo
DNCE,Group
Carlos Vives,Solo
Desiigner,Solo
NEIKED,Group
J. Cole,Solo
Daddy Yankee,Solo
Sebastian Yatra,Solo
21 Savage,Solo
Adele,Solo
Zay Hilfigerrr,Solo
Enrique Iglesias,Solo
Coldplay,Group
gnash,Solo
Lil Wayne,Solo
Martin Jensen,Solo
Rob $tone,Solo
MC G15,Solo
Mike Perry,Solo
Rag'n'Bone Man,Solo
Lukas Graham,Group
Kungs,Solo
Young M.A,Solo
Cashmere Cat,Solo
Noah Cyrus,Solo
Luke Christopher,Solo
Chance the Rapper,Solo
Little Mix,Group
Ozuna,Solo
G-Eazy,Solo
FRENSHIP,Group
Michael Jackson,Solo
IAmChino,Solo
Maluma,Solo
Chino & Nacho,Group
Petit Biscuit,Solo
Cheat Codes,Group
MØ,Solo
Jon Bellion,Solo
Andy Grammer,Solo
Wisin,Solo
Queen,Solo
Young Thug,Solo
Lil Uzi Vert,Solo
Vice,Solo
Ed Sheeran,Solo
Foster The People,Group
Childish Gambino,Solo
Galantis,Group
Pharrell Williams,Solo
Niall Horan,Solo
Flume,Solo
Bebe Rexha,Solo
David Guetta,Solo
Macklemore & Ryan Lewis,Group
Piso 21,Group
Hearts & Colors,Group
The Jackson 5,Group
AJR,Group
Calum Scott,Solo
KYLE,Solo
Nause,Group
Marvin Gaye,Solo
Kiiara,Solo
Future,Solo
Charly Black,Solo
Nicky Jam,Solo
Thalia,Solo
Flo Rida,Solo
Dante Klein,Solo
Mark Ronson,Solo
Gente De Zona,Group
Travis Scott,Solo
San Holo,Solo
Farruko,Solo
State of Sound,Group
Joel Adams,Solo
Anne-Marie,Solo
Marc E. Bassy,Solo
Sean Paul,Solo
Kygo,Solo
Skrillex,Solo
Tove Lo,Solo
James Hersey,Solo
Eminem,Solo
M.I.A.,Solo
James Bay,Solo
Kanye West,Solo
KREAM,Group
Post Malone,Solo
MiC LOWRY,Group
Stevie Wonder,Solo
JAY-Z,Solo
JP Cooper,Solo
DVBBS,Group
Lady Gaga,Solo
Milky Chance,Group
Passenger,Solo
Sam Smith,Solo
Mura Masa,Solo
Selena Gomez,Solo
The Killers,Group
Bryson Tiller,Solo
Hozier,Solo
Isaiah Firebrace,Solo
VÉRITÉ,Solo
Chris Brown,Solo
Snakehips,Group
The xx,Group
Tyga,Solo
London Grammar,Group
Rudimental,Group
Don Omar,Solo
Jax Jones,Solo
A R I Z O N A,Group
Halsey,Solo
Tiësto,Solo
Luis Fonsi,Solo
Olivia Holt,Solo
Stanaj,Solo
Lauv,Solo
La La Land Cast,Group
Ryan Gosling,Solo
Julia Michaels,Solo
PnB Rock,Solo
Gucci Mane,Solo
Oasis,Group
John Mayer,Solo
Ugly God,Solo
Imagine Dragons,Group
Anuel AA,Solo
PARTYNEXTDOOR,Solo
James Blunt,Solo
Cosculluela,Solo
Beyoncé,Solo
Emma Stone,Solo
Justin Hurwitz,Solo
Kodak Black,Solo
Khalid,Solo
Grey,Group
Thomas Gold,Solo
Sam Hunt,Solo
Alesso,Solo
Aaron Carter,Solo
KALEO,Group
Journey,Group
Katy Perry,Solo
Axwell /\ Ingrosso,Solo
Nick Jonas,Solo
Sigrid,Solo
Dua Lipa,Solo
XXXTENTACION,Solo
Burak Yeter,Solo
Sabrina Carpenter,Solo
BTS,Group
Marian Hill,Group
Ellie Goulding,Solo
Joakim Lundell,Solo
Christina Perri,Solo
The Goo Goo Dolls,Group
Bon Iver,Group
DJ Khaled,Solo
Linkin Park,Group
NAV,Solo
Danny Ocean,Solo
Lana Del Rey,Solo
Bag Raiders,Group
Zedd,Solo
Jason Derulo,Solo
Stormzy,Solo
MC Kevinho,Solo
Cali Y El Dandee,Group
Ayo & Teo,Group
MAX,Solo
Alejandro Fernández,Solo
Russ,Solo
Lorde,Solo
Gryffin,Solo
Nicki Minaj,Solo
Stargate,Group
Astrid S,Solo
Pitbull,Solo
Frank Ocean,Solo
Wiktoria,Solo
Robin Bengtsson,Solo
Nano,Solo
Chuck Berry,Solo
Boef,Solo
Kendrick Lamar,Solo
Gorillaz,Solo
Iggy Azalea,Solo
Prince Royce,Solo
Logic,Solo
alt-J,Group
WizKid,Solo
Maggie Lindemann,Solo
Harry Styles,Solo
Joey Bada$$,Solo
Chris Jedi,Solo
blackbear,Solo
French Montana,Solo
Lord Huron,Group
